namespace,oldKey,newKeySuggestion,text
checkout,div_card_details_05,checkout.sections.card-details,"Card details"
checkout,inputplaceholder_email_address_06,checkout.form.email,"Email address"
checkout,inputmaskplaceholder_card_number_07,checkout.form.card-number,"Card number"
checkout,inputmaskplaceholder_mm_yy_08,checkout.form.mm-yy,"MM / YY"
checkout,inputmaskplaceholder_cvc_09,checkout.form.cvc,"CVC"
checkout,div_secured_form_with_ui8_banking_01,checkout.body.security-note,"Secured form with UI8 Banking"
checkout,div_billed_now_399_02,checkout.sections.billed-now,"Billed now: $399"
checkout,div_apply_promo_code_03,checkout.sections.apply-promo-code,"Apply promo code"
checkout,div_by_clicking_quot_start_brainwave_enterpr_04,checkout.body.billing-consent,"By clicking &quot;Start Brainwave Enterprise plan&quot;, you agree to be charged $399 every month, unless you cancel."
checkout,div_start_brainwave_enterprise_plan_05,checkout.sections.cta-start-plan,"Start Brainwave Enterprise plan"
checkout,div_pay_01,checkout.sections.pay,"Pay"
checkout,div_text_02,checkout.sections.currency-symbol,"$"
checkout,div_month_03,checkout.sections.per-month,"/month"
checkout,node_save_04,checkout.badges.save,"Save"
checkout,node_text_05,checkout.badges.percent,"%"
common,div_add_chat_list_01,common.headings.add-chat-list,"Add chat list"
common,div_invite_team_member_02,common.sections.invite-member,"Invite team member"
common,div_only_people_invited_in_this_03,common.body.access-note,"Only people invited in this list can access"
common,div_cancel_04,common.buttons.cancel,"Cancel"
common,div_add_list_05,common.buttons.add-list,"Add list"
common,fieldlabel_name_06,common.labels.name,"Name"
common,fieldplaceholder_name_07,common.placeholders.name,"Name"
common,selectlabel_color_08,common.labels.color,"Color"
common,div_auto_01,common.misc.auto,"Auto"
common,div_reset_02,common.misc.reset,"Reset"
common,sliderrangetitle_exposure_03,common.controls.exposure,"Exposure"
common,sliderrangetitle_contrast_04,common.controls.contrast,"Contrast"
common,sliderrangetitle_highlights_05,common.controls.highlights,"Highlights"
common,sliderrangetitle_shadows_06,common.controls.shadows,"Shadows"
common,sliderrangetitle_white_07,common.controls.white,"White"
common,sliderrangetitle_blacks_08,common.controls.blacks,"Blacks"
common,node_pause_generating_01,common.badges.pause-generating,"Pause generating"
common,imagealt_avatar_02,common.alt.avatar,"Avatar"
common,div_your_audio_has_been_successfully_01,common.body.audio-success,"Your audio has been successfully generated. You may further customize it or simply download it for use."
common,fragment_export_02,common.fragments.export,"Export"
common,button_edit_03,common.buttons.edit,"Edit"
common,selecttitle_speed_04,common.labels.speed,"Speed"
common,selecttitle_voice_05,common.labels.voice,"Voice"
common,actionstitle_exporting_1_audio_06,common.actions.exporting-audio,"Exporting 1 audio"
common,div_introducing_quot_brainwavequot_an_aipowe_01,common.body.introducing-brainwave,"Introducing &quot;Brainwave&quot;, an AI-powered product that can turn any"
common,div_609_characters_02,common.misc.characters-609,"609 characters"
common,div_save_03,common.misc.save,"Save"
common,div_021_04,common.misc.time-021,"0:21"
common,div_102_05,common.misc.time-102,"1:02"
common,imagealt_audio_06,common.alt.audio,"Audio"
common,node_copied_01,common.badges.copied,"Copied!"
common,copytoclipboard_copy_code_02,common.actions.copy-code,"Copy code"
common,div_note_this_is_just_an_03,common.body.form-example-note,"Note: This is just an example of a simple HTML form. In a real-world scenario, you would also want to include proper validation and handling of the form data on the server side."
common,div_i_have_created_a_project_04,common.body.created-project,"I have created a project in your Codepen account"
common,button_view_05,common.buttons.view,"View"
common,button_more_01,common.buttons.more,"More"
common,div_suggestion_to_improve_your_test_01,common.sections.suggestion,"Suggestion to improve your test"
common,p_read_regularly_02,common.sections.read-regularly,"Read regularly:"
common,div_reading_is_an_excellent_way_03,common.body.reading-benefits,"Reading is an excellent way to improve your vocabulary, grammar, and comprehension skills. Try to read a variety of materials, including books, newspapers, magazines, and online articles."
common,p_practice_writing_04,common.sections.practice-writing,"Practice writing:"
common,div_writing_can_help_you_improve_05,common.body.writing-benefits,"Writing can help you improve your grammar, spelling, and sentence structure. Try to write regularly, even if it&apos;s just a short paragraph or a journal entry."
common,p_listen_to_english_06,common.sections.listen-to-english,"Listen to English:"
common,div_listening_to_english_podcasts_audiobooks_07,common.body.listening-benefits,"Listening to English podcasts, audiobooks, and videos can help you improve your listening and comprehension skills. It can also help you get used to different accents and intonations."
common,p_speak_with_native_speakers_08,common.sections.speak-with-natives,"Speak with native speakers:"
common,div_speaking_with_native_speakers_can_09,common.body.speaking-benefits,"Speaking with native speakers can help you improve your pronunciation, fluency, and confidence. You can find language exchange partners or join conversation groups online or in person."
common,p_learn_grammar_rules_10,common.sections.learn-grammar-rules,"Learn grammar rules:"
common,div_learning_the_basic_grammar_rules_11,common.body.grammar-benefits,"Learning the basic grammar rules can help you write and speak more accurately. Try to focus on one rule at a time and practice using it in your writing and speaking. There are many online resources, such as grammar books and videos, that can help you learn grammar rules."
common,head_brainwave_01,common.sections.brand,"Brainwave"
common,imagealt_aid_x_01,common.alt.aidx,"aidX"
common,notify_link_copied_01,common.notify.link-copied,"Link copied"
common,form_share_this_chat_02,common.form.share-chat,"Share this chat"
common,form_copy_link_03,common.form.copy-link,"Copy link"
common,copytoclipboard_copy_04,common.actions.copy,"Copy"
common,form_or_share_to_members_05,common.form.share-to-members,"Or share to members"
common,div_cancel_06,common.buttons.cancel,"Cancel"
common,div_share_07,common.misc.share,"Share"
common,fieldplaceholder_link_08,common.placeholders.link,"Link"
common,selectplaceholder_name_member_01,common.placeholders.member-name,"Name member"
common,fragment_export_01,common.fragments.export,"Export"
common,span_create_02,common.misc.create,"Create"
common,button_variation_03,common.buttons.variation,"variation"
common,fragment_adjust_04,common.fragments.adjust,"Adjust"
common,button_enhance_05,common.buttons.enhance,"Enhance"
common,actionstitle_exporting_1_photo_06,common.actions.exporting-photo,"Exporting 1 photo"
common,actionstitle_adjust_07,common.actions.adjust,"Adjust"
common,imagealt_avatar_01,common.alt.avatar,"Avatar"
common,imagealt_wip_02,common.alt.wip,"WIP"
common,div_share_01,common.misc.share,"Share"
common,div_chat_history_02,common.sections.chat-history,"Chat history"
common,notify_clear_all_chat_history_03,common.notify.clear-chat-history,"Clear all chat history?"
common,div_yes_05,common.misc.yes,"Yes"
common,button_clear_chat_history_06,common.buttons.clear-chat-history,"Clear chat history"
common,link_new_chat_07,common.links.new-chat,"New chat"
common,div_schedule_your_post_with_buffer_01,common.sections.schedule-with-buffer,"Schedule your post with Buffer"
common,div_choose_date_02,common.form.choose-date,"Choose date"
common,div_time_03,common.form.time,"Time"
common,div_scheduled_in_your_current_timezone_04,common.form.timezone-note,"Scheduled in your current timezone"
common,div_schedule_05,common.buttons.schedule,"Schedule"
common,div_you_are_done_01,common.misc.done,"You are done!"
common,div_your_post_has_been_scheduled_02,common.misc.post-scheduled,"Your post has been scheduled for February 14th, 2023 at 11:30 and will be shared through"
common,div_buffer_03,common.misc.buffer,"Buffer"
common,div_text_04,common.misc.period,"."
common,div_view_on_buffer_05,common.links.view-on-buffer,"View on Buffer"
common,inputplaceholder_search_01,common.placeholders.search,"Search"
common,inputplaceholder_search_02,common.placeholders.search-ellipsis,"Search ..."
common,selectplaceholder_created_by_03,common.placeholders.created-by,"Created by"
common,selectplaceholder_date_04,common.placeholders.date,"Date"
common,div_hereaposs_an_example_of_promotional_01,common.sections.promo-example,"Here&apos;s an example of promotional content optimized for Twitter and Facebook:"
common,div_share_with_02,common.sections.share-with,"Share with"
common,button_add_to_queue_03,common.buttons.add-to-queue,"Add to Queue"
common,button_share_now_04,common.buttons.share-now,"Share now"
common,button_schedule_post_05,common.buttons.schedule-post,"Schedule post"
common,div_based_on_the_gender_identified_01,common.body.gender-note,"Based on the gender identified in the uploaded image, the video has been automatically generated with a male voice. However, you have the option to customize your video by selecting from the available options below."
common,button_download_02,common.buttons.download,"Download"
common,selecttitle_voice_03,common.labels.voice,"Voice"
common,notify_content_copied_01,common.notify.content-copied,"Content copied"
common,notify_1_chat_archived_02,common.notify.chat-archived,"1 chat archived"
common,notify_undo_03,common.notify.undo,"Undo"
common,fragment_regenerate_response_05,common.fragments.regenerate-response,"Regenerate response"
common,node_share_06,common.badges.share,"Share"
common,node_archive_chat_07,common.badges.archive-chat,"Archive chat"
common,imagealt_smile_heart_eyes_08,common.alt.smile-heart-eyes,"Smile heart eyes"
common,imagealt_smile_unamused_09,common.alt.smile-unamused,"Smile unamused"
common,imagealt_smile_heart_eyes_10,common.alt.smile-heart-eyes,"Smile heart eyes"
common,imagealt_smile_unamused_11,common.alt.smile-unamused,"Smile unamused"
common,div_text_01,common.misc.hash,"#"
common,div_incorrect_answer_5_02,common.misc.incorrect-answer-5,"Incorrect answer (5)"
common,div_correct_answer_03,common.misc.correct-answer,"Correct answer"
common,div_how_04,common.misc.how,"How"
common,div_very_good_01,common.misc.very-good,"Very good!"
common,div_485_02,common.misc.score-485,"4.85"
common,button_download_03,common.buttons.download,"Download"
common,node_chat_list_01,common.badges.chat-list,"Chat list"
common,node_new_list_02,common.badges.new-list,"New list"
common,node_f_01,common.badges.cmd-f,"⌘ F"
common,div_tran_mau_tri_tam_01,common.misc.author-name,"Tran Mau Tri Tam"
common,div_tamui8net_02,common.misc.author-email,"tam@ui8.net"
common,fragment_free_03,common.fragments.free,"Free"
common,node_upgraded_to_pro_04,common.badges.upgraded-to-pro,"Upgraded to Pro"
common,imagealt_avatar_05,common.alt.avatar,"Avatar"
common,div_upload_to_mentalhealth_gpt_01,common.sections.upload-to-mh-gpt,"Upload to mentalhealthGPT"
common,div_you_can_add_prompts_after_02,common.sections.add-prompts-note,"You can add prompts after uploading."
common,notify_1_chat_archived_01,common.notify.chat-archived,"1 chat archived"
common,notify_undo_02,common.notify.undo,"Undo"
common,div_notifications_01,common.sections.notifications,"Notifications"
common,div_lead_visual_designer_at_ui8_02,common.misc.role-label,"Lead visual designer at UI8"
common,imagealt_avatar_03,common.alt.avatar,"Avatar"
common,imagealt_avatar_04,common.alt.avatar,"Avatar"
common,link_jump_01,common.links.jump,"Jump"
common,link_last_edited_by_02,common.links.last-edited-by,"Last edited by"
common,fragment_appearance_01,common.fragments.appearance,"Appearance"
common,fragment_appearance_02,common.fragments.appearance,"Appearance"
common,div_primary_language_03,common.sections.primary-language,"Primary language"
common,div_applications_01,common.sections.applications,"Applications"
common,div_add_apps_02,common.sections.add-apps,"Add apps"
common,fragment_authorized_apps_03,common.fragments.authorized-apps,"Authorized apps"
common,form_chat_export_01,common.form.chat-export,"Chat export"
common,div_select_chat_list_to_export_02,common.form.select-chat-list,"Select chat list to export"
common,div_download_conversation_03,common.form.download-conversation,"Download conversation"
common,form_were_sorry_to_see_you_01,common.form.delete-account-title,"We’re sorry to see you go"
common,form_warning_deleting_your_account_will_02,common.form.delete-account-warning,"Warning: Deleting your account will permanently remove all of your data and cannot be undone. This includes your profile, chats, comments, and any other information associated with your account. Are you sure you want to proceed with deleting your account?"
common,form_delete_account_03,common.form.delete-account,"Delete account"
common,fieldlabel_your_password_04,common.labels.your-password,"Your password"
common,fieldplaceholder_password_05,common.placeholders.password,"Password"
common,form_edit_profile_01,common.form.edit-profile,"Edit profile"
common,form_avatar_02,common.form.avatar,"Avatar"
common,div_upload_new_image_03,common.form.upload-new-image,"Upload new image"
common,div_at_least_800x800_px_recommended_04,common.form.size-recommendation,"At least 800x800 px recommended."
common,div_jpg_or_png_and_gif_05,common.form.allowed-formats,"JPG or PNG and GIF is allowed"
common,form_save_changes_06,common.form.save-changes,"Save changes"
common,imagealt_avatar_07,common.alt.avatar,"Avatar"
common,fieldlabel_name_08,common.labels.name,"Name"
common,fieldplaceholder_username_09,common.placeholders.username,"Username"
common,fieldlabel_location_10,common.labels.location,"Location"
common,fieldplaceholder_location_11,common.placeholders.location,"Location"
common,fieldlabel_bio_12,common.labels.bio,"Bio"
common,fieldplaceholder_short_bio_13,common.placeholders.short-bio,"Short bio"
common,form_password_01,common.form.password,"Password"
common,form_change_password_02,common.form.change-password,"Change password"
common,fieldlabel_password_03,common.labels.password,"Password"
common,fieldplaceholder_password_04,common.placeholders.password,"Password"
common,fieldlabel_new_password_05,common.labels.new-password,"New password"
common,fieldplaceholder_new_password_06,common.placeholders.new-password,"New password"
common,fieldlabel_confirm_new_password_07,common.labels.confirm-new-password,"Confirm new password"
common,fieldplaceholder_confirm_new_password_08,common.placeholders.confirm-new-password,"Confirm new password"
common,fragment_your_sessions_01,common.fragments.your-sessions,"Your sessions"
common,fragment_this_is_a_list_of_02,common.fragments.device-list-note,"This is a list of devices that have logged into your account. Revoke any sessions that you do not recognize."
common,fragment_devices_03,common.fragments.devices,"Devices"
common,fragment_sign_out_all_devices_04,common.fragments.sign-out-all,"Sign out all devices"
common,div_members_01,common.sections.members,"Members"
common,div_invite_02,common.sections.invite,"Invite"
common,fragment_42_members_03,common.fragments.members-count,"42 members"
common,div_suggested_media_01,common.sections.suggested-media,"Suggested media"
common,div_make_sure_you_have_the_02,common.sections.media-rights-note,"Make sure you have the rights to use the suggested media."
common,div_upload_media_03,common.sections.upload-media,"Upload media"
common,node_text_01,common.badges.at,"@"
common,button_share_now_02,common.buttons.share-now,"Share now"
common,button_new_variation_04,common.buttons.new-variation,"New variation"
common,button_copy_05,common.buttons.copy,"Copy"
common,iframetitle_you_tube_video_player_01,common.misc.youtube-player,"YouTube video player"
common,div_deauthorize_01,common.sections.deauthorize,"Deauthorize"
common,div_revoke_01,common.sections.revoke,"Revoke"
common,node_admin_01,common.badges.admin,"Admin"
common,div_text_02,common.misc.at,"@"
diagnosis-support,div_the_ai_functionality_for_01,diagnosis-support.sections.banner-prefix,"🚧 The AI functionality for"
diagnosis-support,p_diagnosis_support_02,diagnosis-support.sections.title,"Diagnosis Support"
diagnosis-support,div_is_currently_under_development_03,diagnosis-support.sections.under-development,"is currently under development."
diagnosis-support,div_it_will_gradually_become_available_04,diagnosis-support.sections.coming-soon,"It will gradually become available as we integrate specialized models to support mental health diagnostics."
diagnosis-support,chattitle_diagnosis_support_05,diagnosis-support.chat.title,"Diagnosis Support"
documentation-reports,chat_hello_how_can_i_assist_01,documentation-reports.chat.greeting,"Hello! How can I assist you with documentation and reporting today?"
documentation-reports,answer_soon_youll_be_able_to_02,documentation-reports.text.coming-capability,"Soon you’ll be able to generate"
documentation-reports,p_professional_documentation_and_reports_03,documentation-reports.text.professional-docs,"professional documentation and reports"
documentation-reports,answer_whether_for_clinical_use_04,documentation-reports.text.use-cases,"— whether for clinical use, insurance submissions, or personal records of therapy and supervision sessions."
documentation-reports,answer_our_ai_will_help_you_05,documentation-reports.text.ai-helps-transform,"Our AI will help you transform transcripts into"
documentation-reports,p_clear_structured_and_confidential_06,documentation-reports.text.clear-structured-confidential,"clear, structured, and confidential"
documentation-reports,answer_reports_automatically_07,documentation-reports.text.reports-automatically,"reports — automatically."
documentation-reports,answer_all_data_is_processed_with_08,documentation-reports.text.data-processed-with,"All data is processed with"
documentation-reports,p_endtoend_encryption_09,documentation-reports.text.end-to-end-encryption,"end-to-end encryption"
documentation-reports,answer_to_protect_patient_confidentiality_and_10,documentation-reports.text.privacy-protection,"to protect patient confidentiality and ensure secure handling at every stage."
documentation-reports,div_text_11,documentation-reports.sections.icon,"🚧"
documentation-reports,p_documentation_reporting_12,documentation-reports.sections.title,"Documentation & Reporting"
documentation-reports,div_is_an_exciting_new_feature_13,documentation-reports.sections.in-development,"is an exciting new feature that’s currently in development."
documentation-reports,div_were_building_it_to_save_14,documentation-reports.text.value-prop,"We’re building it to save you time, reduce admin load, and enhance the quality of your documentation —"
documentation-reports,p_stay_tuned_15,documentation-reports.text.stay-tuned,"stay tuned!"
documentation-reports,chattitle_documentation_reporting_16,documentation-reports.chat.title,"Documentation & Reporting"
generation-socials-post,chattitle_promotional_content_01,generation-socials-post.chat.title,"Promotional content"
home,div_mentalhealth_gpt_01,home.sections.brand,"mentalhealthGPT"
home,div_expertise_you_trust_privacy_you_02,home.sections.tagline,"Expertise you trust. Privacy you control. Science that empowers."
pricing,div_ai_chat_made_affordable_01,pricing.sections.hero-title,"AI chat made affordable"
pricing,div_pricing_plans_for_every_budget_02,pricing.sections.hero-subtitle,"Pricing Plans for every budget"
pricing,div_choose_plan_03,pricing.sections.choose-plan,"Choose plan"
pricing,div_frequently_asked_questions_01,pricing.sections.faq,"Frequently asked questions"
pricing,div_core_features_01,pricing.sections.core-features,"Core features"
pricing,div_free_02,pricing.sections.free,"Free"
pricing,div_pro_03,pricing.sections.pro,"Pro"
pricing,div_enterprise_04,pricing.sections.enterprise,"Enterprise"
pricing,node_via_email_05,pricing.badges.via-email,"Via email"
pricing,node_chat_247_06,pricing.badges.chat-247,"Chat 24/7"
pricing,node_popular_01,pricing.badges.popular,"Popular"
pricing,div_text_02,pricing.sections.currency-symbol,"$"
pricing,div_text_03,pricing.sections.slash,"/"
sign-in,form_forgot_password_01,sign-in.misc.forgot-password,"Forgot password?"
sign-in,form_sign_in_with_brainwave_02,sign-in.misc.sign-in-with-brainwave,"Sign in with Brainwave"
sign-in,fieldplaceholder_username_or_email_03,sign-in.placeholders.username-or-email,"Username or email"
sign-in,fieldplaceholder_password_04,sign-in.placeholders.password,"Password"
sign-in,div_unlock_the_power_of_ai_01,sign-in.sections.hero-title,"Unlock the power of AI"
sign-in,div_chat_with_the_smartest_ai_02,sign-in.sections.hero-subtitle,"Chat with the smartest AI - Experience the power of AI with us"
sign-in,button_continue_with_google_01,sign-in.buttons.continue-google,"Continue with Google"
sign-in,button_continue_with_apple_02,sign-in.buttons.continue-apple,"Continue with Apple"
sign-in,div_or_03,sign-in.sections.or,"OR"
sign-in,form_create_account_01,sign-in.buttons.create-account,"Create Account"
sign-in,form_by_creating_an_account_you_02,sign-in.text.by-creating-account,"By creating an account, you agree to our"
sign-in,div_terms_of_service_03,sign-in.sections.terms-of-service,"Terms of Service"
sign-in,form_and_04,sign-in.text.and,"and"
sign-in,div_privacy_cookie_statement_05,sign-in.sections.privacy-cookie,"Privacy & Cookie Statement"
sign-in,form_text_06,sign-in.text.period,"."
sign-in,fieldplaceholder_email_07,sign-in.placeholders.email,"Email"
sign-in,fieldplaceholder_password_08,sign-in.placeholders.password,"Password"
sign-in,fragment_reset_your_password_01,sign-in.fragments.reset-password,"Reset your password"
sign-in,form_reset_password_02,sign-in.buttons.reset-password,"Reset password"
sign-in,fieldplaceholder_email_03,sign-in.placeholders.email,"Email"
supervision-training,div_the_ai_model_for_01,supervision-training.sections.banner-prefix,"🚧 The AI model for"
supervision-training,p_supervision_training_02,supervision-training.sections.title,"Supervision & Training"
supervision-training,div_is_currently_being_developed_with_03,supervision-training.sections.under-development,"is currently being developed with specialized training data."
supervision-training,div_it_will_be_available_soon_04,supervision-training.sections.coming-soon,"It will be available soon to support expert feedback and mentoring workflows."
supervision-training,chattitle_supervision_training_05,supervision-training.chat.title,"Supervision & Training"
thanks,div_thank_you_for_your_purchase_01,thanks.sections.title,"Thank you for your purchase!"
thanks,div_your_order_has_been_received_02,thanks.sections.order-received,"Your order has been received and is currently being processed. You will receive an email confirmation with your order details shortly."
thanks,div_manage_subscription_03,thanks.buttons.manage-subscription,"Manage subscription"
thanks,div_start_new_chat_04,thanks.buttons.start-new-chat,"Start new chat"
therapy-support,div_hello_im_your_therapy_01,therapy-support.sections.greeting,"🧠 Hello! I'm your Therapy Support AI."
therapy-support,div_feel_free_to_describe_your_02,therapy-support.sections.instructions,"Feel free to describe your case, the specific symptoms, or ask for therapeutic strategies."
therapy-support,chattitle_therapy_support_ai_03,therapy-support.chat.title,"Therapy Support AI"
updates-and-faq,div_updates_faq_01,updates-and-faq.sections.title,"Updates & FAQ"
updates-and-faq,div_features_fixes_improvements_02,updates-and-faq.sections.subtitle,"Features, fixes & improvements."
updates-and-faq,div_cant_find_any_answer_01,updates-and-faq.sections.question,"Can’t find any answer?"
updates-and-faq,div_lets_ask_the_smartest_ai_02,updates-and-faq.sections.lets-ask-ai,"Let’s ask the smartest AI Chat"
updates-and-faq,div_ask_mentalhealth_gpt_03,updates-and-faq.buttons.ask-mh-gpt,"Ask mentalhealthGPT"
updates-and-faq,div_load_more_01,updates-and-faq.buttons.load-more,"Load more"
video-analysis,chat_hello_how_can_i_assist_01,video-analysis.chat.greeting,"Hello! How can I assist you with video analysis today?"
video-analysis,answer_our_aipowered_video_analysis_is_02,video-analysis.text.coming-soon,"Our AI-powered video analysis is coming soon."
video-analysis,p_it_will_help_analyze_therapy_03,video-analysis.text.value-prop-part1,"It will help analyze therapy session recordings"
video-analysis,answer_detect_key_themes_nonverbal_04,video-analysis.text.value-prop-part2,", detect key themes, nonverbal cues, and therapeutic dynamics — all with full end-to-end security."
video-analysis,answer_your_video_data_is_protected_05,video-analysis.text.security,"Your video data is protected at every step: in your browser, during upload, and throughout the AI-based processing."
video-analysis,answer_this_feature_is_currently_in_06,video-analysis.text.in-development,"This feature is currently in development —"
video-analysis,p_stay_tuned_07,video-analysis.text.stay-tuned,"stay tuned!"
video-analysis,div_text_08,video-analysis.sections.icon,"🚧"
video-analysis,p_video_analysis_09,video-analysis.sections.title,"Video Analysis"
video-analysis,div_is_a_powerful_feature_that_10,video-analysis.text.feature-benefit,"is a powerful feature that will provide secure, AI-generated insights into therapeutic sessions."
video-analysis,div_were_excited_to_launch_this_11,video-analysis.text.launch-excitement,"We’re excited to launch this soon — enabling deeper reflection, supervision, and professional growth."
video-analysis,chattitle_video_analysis_12,video-analysis.chat.title,"Video Analysis"
